Date,Temperature,Demand,Price,IBEX35
2011-01-01,9.6,605986.216,42.6,9928.25
2011-01-02,9.1,641856.0869999999,42.73,9928.25
2011-01-03,6.5,801297.3650000001,48.84,9922.05
2011-01-04,7.5,833253.263,45.67,9886.8
2011-01-05,10.0,803475.5729999999,35.34,9740.85
2011-01-06,12.9,659165.544,19.04,9755.5
2011-01-07,12.3,745349.064,13.41,9598.6
2011-01-08,11.8,714197.4039999999,21.08,9598.6
2011-01-09,9.5,676565.5310000001,42.11,9598.6
2011-01-10,8.1,825093.6649999998,37.01,9439.85
2011-01-11,11.2,839408.056,26.96,9498.85
2011-01-12,11.1,831748.884,39.04,9851.1
2011-01-13,10.4,831676.7269999998,44.11,10253.5
2011-01-14,9.5,828355.7130000002,46.15,10336.25
2011-01-15,9.1,740276.2890000001,47.23,10336.25
2011-01-16,8.6,690529.4879999999,41.31,10336.25
2011-01-17,9.0,833383.0990000002,46.86,10300.2
2011-01-18,8.3,854014.7000000002,49.15,10448.25
2011-01-19,9.1,852744.069,47.43,10555.65
2011-01-20,7.7,848133.382,44.12,10599.25
2011-01-21,4.6,869535.4820000001,36.11,10799.05
2011-01-22,2.8,811255.5320000001,38.4,10799.05
2011-01-23,2.9,762605.0160000001,38.15,10799.05
2011-01-24,4.2,909269.5630000004,41.67,10807.9
2011-01-25,4.6,925838.099,46.21,10741.05
2011-01-26,4.8,922889.3229999996,48.68,10740.5
2011-01-27,5.6,908662.717,48.05,10739.6
2011-01-28,6.7,893973.743,48.66,10837.25
2011-01-29,6.8,789680.8170000003,49.05,10837.25
2011-01-30,5.7,731642.467,48.62,10837.25
2011-01-31,5.2,884108.5260000002,47.2,10761.0
2011-02-01,5.7,896370.4969999997,49.62,10882.1
2011-02-02,6.4,888988.9859999998,48.71,10980.85
2011-02-03,7.6,880048.047,48.76,10887.85
2011-02-04,8.4,863200.2180000001,52.06,10838.35
2011-02-05,9.0,764264.7850000001,52.68,10838.35
2011-02-06,9.2,695026.2700000001,50.23,10838.35
2011-02-07,8.9,833539.7799999999,53.57,10883.65
2011-02-08,8.8,857808.7740000001,49.14,10930.75
2011-02-09,9.0,854895.8520000001,47.63,10982.3
2011-02-10,9.7,847728.901,49.78,10785.5
2011-02-11,9.2,840675.961,52.89,10766.0
2011-02-12,8.6,749056.0570000003,51.56,10766.0
2011-02-13,8.3,693923.146,44.19,10766.0
2011-02-14,7.6,837839.789,45.3,10814.0
2011-02-15,7.8,867723.489,47.66,10809.4
2011-02-16,7.8,862550.5189999997,44.91,10971.55
2011-02-17,7.8,867483.546,45.01,11074.0
2011-02-18,9.0,844064.8519999997,46.87,11063.0
2011-02-19,10.0,753137.6340000001,50.09,11063.0
2011-02-20,10.9,678337.36,44.27,11063.0
2011-02-21,10.7,813126.9360000003,42.43,10921.25
2011-02-22,12.8,813497.6350000002,38.97,10697.1
2011-02-23,12.0,792264.4230000002,47.17,10676.3
2011-02-24,11.9,790552.8489999999,49.73,10608.95
2011-02-25,12.3,780618.4330000001,47.7,10759.0
2011-02-26,12.5,698188.6120000001,45.06,10759.0
2011-02-27,9.7,643617.356,42.48,10759.0
2011-02-28,7.5,786009.3479999999,43.62,10826.85
2011-03-01,6.5,838913.4,46.12,10823.55
2011-03-02,6.6,857398.4789999998,46.74,10643.55
2011-03-03,6.0,872249.2799999999,49.36,10647.05
2011-03-04,6.3,872085.294,51.26,10545.5
2011-03-05,8.4,751944.163,47.03,10545.5
2011-03-06,8.9,678996.8409999999,46.12,10545.5
2011-03-07,10.1,798628.5429999998,48.75,10520.7
2011-03-08,10.7,826503.9569999998,42.54,10490.8
2011-03-09,10.3,837593.5480000001,47.64,10549.85
2011-03-10,10.8,826068.364,48.88,10415.25
2011-03-11,10.2,830681.753,49.17,10383.2
2011-03-12,11.2,735543.312,49.37,10383.2
2011-03-13,11.0,660604.3,47.46,10383.2
2011-03-14,11.2,806162.8529999999,47.78,10501.1
2011-03-15,10.8,820875.8039999998,47.42,10226.7
2011-03-16,10.2,821400.5819999997,43.57,10251.05
2011-03-17,11.9,796021.0779999997,41.52,10230.25
2011-03-18,12.3,774556.0889999999,49.13,10355.35
2011-03-19,12.3,672318.077,45.28,10355.35
2011-03-20,12.3,620385.2439999998,42.77,10355.35
2011-03-21,11.3,761076.5729999997,45.62,10496.65
2011-03-22,10.6,786184.4750000002,43.37,10642.0
2011-03-23,10.5,800892.353,44.23,10585.5
2011-03-24,12.2,795389.8350000001,47.43,10644.0
2011-03-25,13.3,778606.7289999998,48.14,10751.75
2011-03-26,12.9,686670.255,42.89,10751.75
2011-03-27,12.4,605054.689,26.49,10751.75
2011-03-28,12.6,755234.322,46.84,10721.9
2011-03-29,13.8,769209.5099999998,45.62,10718.4
2011-03-30,14.1,769475.568,47.0,10764.8
2011-03-31,15.5,753622.173,48.29,10677.85
2011-04-01,17.3,739283.9810000001,46.46,10655.25
2011-04-02,16.4,651742.8779999999,45.96,10655.25
2011-04-03,14.2,605901.255,44.21,10655.25
2011-04-04,14.8,724924.426,49.52,10737.8
2011-04-05,16.4,736422.0500000002,45.59,10686.95
2011-04-06,18.8,739279.7720000002,45.66,10770.5
2011-04-07,19.0,732198.3939999999,46.59,10853.25
2011-04-08,19.2,735235.101,47.38,10917.7
2011-04-09,18.6,648442.801,46.64,10917.7
2011-04-10,17.3,592949.0639999998,34.01,10917.7
2011-04-11,16.0,717889.055,45.7,10909.15
2011-04-12,15.8,734044.3659999997,45.45,10819.25
2011-04-13,16.2,730789.4870000001,50.06,10817.35
2011-04-14,16.2,733161.8269999999,49.69,10654.6
2011-04-15,15.1,732740.6100000001,53.4,10566.15
2011-04-16,15.1,654129.791,44.14,10566.15
2011-04-17,15.5,588087.3020000001,42.78,10566.15
2011-04-18,15.8,699179.737,45.62,10431.95
2011-04-19,15.5,714249.565,49.11,10369.75
2011-04-20,15.8,699445.6830000001,49.14,10501.6
2011-04-21,15.4,603833.2949999999,46.92,10581.3
2011-04-22,13.4,557697.103,44.28,10581.3
2011-04-23,14.0,581223.3420000001,49.63,10581.3
2011-04-24,14.7,552420.8499999999,34.64,10581.3
2011-04-25,15.4,621969.817,42.86,10581.3
2011-04-26,15.8,699876.264,47.33,10623.55
2011-04-27,16.3,712548.8929999999,48.18,10694.55
2011-04-28,16.4,714337.5889999998,49.78,10849.5
